// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
15.198; 0.43979; 
15.259; 0.39451; 
15.32; 0.45377; 
15.381; 0.62801; 
15.442; 0.79963; 
15.503; 0.84046; 
15.564; 0.76839; 
15.625; 0.66179; 
15.686; 0.60354; 
15.747; 0.57175; 
15.808; 0.48529; 
15.869; 0.42445; 
15.93; 0.41191; 
15.991; 0.40028; 
16.052; 0.4315; 
16.113; 0.4591; 
16.174; 0.49358; 
16.235; 0.59628; 
16.296; 0.68794; 
16.357; 0.75243; 
16.418; 0.76049; 
16.479; 0.66363; 
16.541; 0.56959; 
16.602; 0.50395; 
16.663; 0.42738; 
16.724; 0.38674; 
16.785; 0.3894; 
16.846; 0.41725; 
16.907; 0.46936; 
16.968; 0.54052; 
17.029; 0.60838; 
17.09; 0.62483; 
17.151; 0.55607; 
17.212; 0.42774; 
17.273; 0.32426; 
17.334; 0.30139; 
17.395; 0.36695; 
17.456; 0.47636; 
17.517; 0.56104; 
17.578; 0.64435; 
17.639; 0.71726; 
17.7; 0.72008; 
17.761; 0.6687; 
17.822; 0.57656; 
17.883; 0.48256; 
17.944; 0.40818; 
18.005; 0.37117; 
18.066; 0.4383; 
18.127; 0.49383; 
18.188; 0.45786; 
18.25; 0.43143; 
18.311; 0.40913; 
18.372; 0.39674; 
18.433; 0.37996; 
18.494; 0.30169; 
18.555; 0.25204; 
18.616; 0.28479; 
18.677; 0.37025; 
18.738; 0.41696; 
18.799; 0.3788; 
18.86; 0.36619; 
18.921; 0.34395; 
18.982; 0.25873; 
19.043; 0.18273; 
19.104; 0.15027; 
19.165; 0.24669; 
19.226; 0.40071; 
19.287; 0.43861; 
19.348; 0.38564; 
19.409; 0.30492; 
19.47; 0.25383; 
19.531; 0.19423; 
19.592; 0.08198; 
19.653; 0.05073; 
19.714; 0.09685; 
19.775; 0.14342; 
19.836; 0.19174; 
19.897; 0.21126; 
19.958; 0.2092; 
20.02; 0.15249; 
20.081; 0.07071; 
20.142; 0.04751; 
20.203; -0.00823; 
20.264; -0.11829; 
20.325; -0.17361; 
20.386; -0.11889; 
20.447; -0.01452; 
20.508; 0.02103; 
20.569; 0.03087; 
20.63; 0.06473; 
20.691; 0.08684; 
20.752; 0.10946; 
20.813; 0.09272; 
20.874; 0.06793; 
20.935; 0.06559; 
20.996; -0.00591; 
21.057; -0.09213; 
21.118; -0.13396; 
21.179; -0.14033; 
21.24; -0.10544; 
21.301; -0.11038; 
21.362; -0.11425; 
21.423; -0.0718; 
21.484; -0.08326; 
21.545; -0.12431; 
21.606; -0.14305; 
21.667; -0.157; 
21.729; -0.17777; 
21.79; -0.18264; 
21.851; -0.14227; 
21.912; -0.10795; 
21.973; -0.08046; 
22.034; -0.06844; 
22.095; -0.10184; 
22.156; -0.12012; 
22.217; -0.17206; 
22.278; -0.26324; 
22.339; -0.3164; 
22.4; -0.34814; 
22.461; -0.32335; 
22.522; -0.28907; 
22.583; -0.29182; 
22.644; -0.26007; 
22.705; -0.21267; 
22.766; -0.13544; 
22.827; -0.06406; 
22.888; -0.036; 
22.949; 0.04202; 
23.01; 0.09589; 
23.071; 0.08904; 
23.132; 0.06413; 
23.193; -0.05931; 
23.254; -0.22421; 
23.315; -0.33741; 
23.376; -0.39245; 
23.438; -0.39713; 
23.499; -0.37458; 
23.56; -0.28036; 
23.621; -0.17419; 
23.682; -0.17633; 
23.743; -0.23451; 
23.804; -0.29152; 
23.865; -0.37248; 
23.926; -0.45418; 
23.987; -0.46119; 
24.048; -0.3723; 
24.109; -0.20109; 
24.17; -0.03283; 
24.231; 0.00374; 
24.292; 0.02344; 
24.353; 0.10156; 
24.414; 0.06115; 
24.475; -0.06339; 
24.536; -0.16147; 
24.597; -0.26501; 
