,Nombre,diagnostico,Id_Estado_Activo,time,machine
842,S5-Ventilador 73 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.Niveles de vibración por encima de la normalidad posiblemente asociados a unas amplificación estructural.",1.0,2019-10-16,S5-73-M2
1039,S4-Ventilador 75 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-75-M2
942,S5-Ventilador 71 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S5-71-M2
1304,S6-Ventilador Extracción 63 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-63-M1
494,S4-Ventilador Extracción 62 M1," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado.  ",1.0,2019-10-16,S4-62-M1
959,S5-Ventilador 72 M1, Ventilador: Se detecta un aumento de las medidas en mm/s posiblemente asociadas a las condiciones de RPM. Las medidas en aceleración apuntan a un progreso en la degradación detectada en anteriores inspecciones.,2.0,2019-10-16,S5-72-M1
1070,S5-Ventilador 66 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S5-66-M1
885,S5-Ventilador 75 M2, Conjunto: Se mantiene el comportamiento de la pasada inspección.Se mantienen los niveles por encima de la normalidad posiblemente asociados a una condición de amplificación estructural.,1.0,2019-10-16,S5-75-M2
1133,S4-Ventilador 79 M2," Motor: Activo en buen estado.
 Ventilador: Degradación incipiente de las condiciones mecánicas del rodamiento. ",2.0,2019-10-16,S4-79-M2
1261,S6-Ventilador 67 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-67-M2
1177,S6-Ventilador 71 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-71-M1
1021,S4-Ventilador 74 M1," Motor: Activo en buen estado. 
 Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. Es posible que el estado del rodete esté influyendo en el comportamiento.",1.0,2019-10-16,S4-74-M1
1182,S6-Ventilador 77 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-77-M2
890,S5-Ventilador 68 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S5-68-M2
1268,S6-Ventilador 75 M2," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2019-10-16,S6-75-M2
1299,S6-Ventilador 78 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-78-M2
512,S5-Ventilador Extracción 63 M1," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S5-63-M1
