machine,point,time,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range
S1-M39,M-LOA-H,2020-10-14 11:53:10.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-H,2020-02-11 09:46:15.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-H,2020-04-28 10:31:48.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-H,2020-07-09 08:52:28.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-H,2021-04-06 16:37:16.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LA-V,2019-07-16 11:58:10.335,2.0,0.0,0.0,0.0,0.0,0.0,0.27588,0.0,0.0,0.0,0.0
S3-M09,V-LA-V,2020-10-14 08:18:26.455,5.0,0.08908,0.0,0.0,0.21641000000000002,0.0,0.08981,0.10849,0.0,0.0,0.0
S3-M09,V-LA-V,2020-02-11 12:18:35.954,1.0,0.0,0.0,0.0,0.10351,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LA-V,2020-04-28 16:37:47.285,11.0,0.09707,0.16131,0.0,0.24647,0.1862,0.29579,0.29518,0.0,0.0,0.0
S3-M09,V-LA-V,2020-07-09 10:41:23.604,5.0,0.11789,0.0,0.0,0.17969,0.1101,0.08208,0.09741,0.0,0.0,0.0
S3-M09,V-LA-V,2021-04-06 10:52:47.054,5.0,0.0,0.0,0.0,0.2007,0.14399,0.09668,0.08627,0.0,0.0,0.0
S4-73-M1,V-LOA-H,2019-10-15 17:00:44.894,1.0,0.10712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M1,V-LOA-H,2019-06-18 15:56:22.416,20.0,0.0,0.0,0.71739,0.68008,0.40681,0.77068,1.2440099999999998,0.10384,0.0,0.0
S4-73-M1,V-LOA-H,2020-10-13 16:02:25.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M1,V-LOA-H,2021-04-07 10:01:28.644,2.0,0.1032,0.0,0.0,0.0,0.09574,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-V,2019-07-16 10:48:20.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-V,2020-10-14 11:53:20.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,M-LOA-V,2020-02-11 09:46:25.643,1.0,0.0,0.0,0.08509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
