,machine,point,time,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Nombre,diagnostico,Id_Estado_Activo,Id_Estado_Activo_fixed
11,S3-M35,M-LOA-V,2019-06-18 12:40:52.775,5.9485,1.899738734226565,0.75345,0.3974407139357391,0.1967085178865075,0.1678161955211519,3.830286599153316,1.0,0.0,0.0,0.0,0.10243,0.0,0.0,0.0,0.0,0.0,0.0,0.75237,0.2850889305504189,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
12,S3-M35,M-LA-H,2019-06-18 12:41:03.966,6.7364,2.6830460927954705,1.2232,0.440421384691695,0.245898326730813,0.3539078689652948,4.974413678459258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2929,0.3970881506903009,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
13,S3-M35,M-LA-V,2019-06-18 12:41:15.194,6.5693,2.5828323242026747,1.2092,0.4688001210183258,0.277839706956537,0.1814512260430087,4.352149709793488,1.0,0.0,0.0,0.09353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0684,0.4473712929355734,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
14,S3-M35,M-LA-A,2019-06-18 12:41:25.555,8.6779,4.569389902582876,0.56637,0.3680140937096639,0.1651315646381692,0.4748434529490648,3.4298106557702104,1.0,0.12233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35971,0.1788096306726701,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
15,S3-M35,V-LA-H,2019-06-18 12:41:35.765,10.338,4.25844469961956,4.991,0.9695773373035776,1.190649326820711,0.2062688331804247,4.191830363123826,23.0,0.09711,0.1751,0.0996,0.46635,0.0864,0.43666,0.9576699999999998,0.61,0.0,0.41495,5.1883,2.2386414777981654,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
16,S3-M35,V-LA-V,2019-06-18 12:41:48.686,16.404,5.8442260623503,4.9645,0.9860388437167976,1.226047646320071,0.125645138873089,4.04919010684514,23.0,0.2891,0.36014,0.0,0.75905,0.0,0.15177,0.3668,0.5076,0.2076799999999999,0.80374,5.2145,2.251903566563642,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
17,S3-M35,V-LOA-H,2019-06-18 12:42:04.145,6.6688,2.5411555653361364,6.6386,1.1135485095868636,1.556192368234321,0.0263955691045567,4.265925045971184,18.0,0.0,0.24061,0.0,0.80926,0.14806,1.0667,0.93565,0.11031,0.0,0.09067,6.4197,2.799523712357422,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
18,S3-M35,V-LOA-V,2019-06-18 12:42:16.435,15.323,6.402617557705222,5.3888,1.0159262002288962,1.3088292234157533,0.2149712244075887,4.117267481189357,29.0,0.32151,0.16612,0.08355,0.71374,0.12221,0.57789,1.13314,0.63626,0.0,0.33327,5.2428,2.344107880386004,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
19,S3-M35,V-LOA-A,2019-06-18 12:42:33.056,8.6644,4.039392098496229,4.2157,0.9292846704747136,1.0878317662835424,0.0991157623972593,3.875323492714757,13.0,0.10524,0.0,0.0,0.16828,0.0,0.84575,0.85435,0.19483,0.0,0.0,4.6099,1.9290676493664127,S3-Ventilador M35," Motor: Activo en buen estado. 
 Ventilador: Existe un aumento de las amplitudes en los indicadores de degradación de rodamientos.",2.0,2.0
20,S2-M15,M-LOA-H,2019-06-18 12:44:14.335,7.1614,2.463597918603007,1.2172,0.4531547471377913,0.2584858054624542,0.1253936304816778,4.708962636545246,1.0,0.0,0.0,0.11774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1741,0.3806320212619624,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
21,S2-M15,M-LOA-V,2019-06-18 12:44:24.955,7.0298,2.349310526520825,0.99965,0.4371431119688344,0.2398945346876373,0.0136772325965175,4.167039492173624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9461,0.3851638183295438,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
22,S2-M15,M-LA-H,2019-06-18 12:44:36.956,6.9356,2.246812013750221,1.6483,0.5688504498992559,0.4063081380019481,0.0009807836196671,4.056773285678312,2.0,0.0,0.0,0.0,0.0,0.0843,0.0,0.0,0.0,0.0,0.0,1.7777,0.743434177626009,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
23,S2-M15,M-LA-V,2019-06-18 12:44:49.415,8.5729,3.2444456083799342,1.8934,0.633606741640079,0.5018408056628137,0.1191124334921012,3.772909613237336,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24896,0.0,0.0,1.8313,0.9465181506469148,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
24,S2-M15,M-LA-A,2019-06-18 12:45:00.766,7.2017,2.871963972270211,0.74836,0.3840644308713668,0.1853540636833349,0.0510286636139647,4.0374620611422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72594,0.2806959852277436,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
25,S2-M15,V-LA-H,2019-06-18 12:45:12.702,6.8734,2.516612593253134,1.99,0.6146712929199181,0.474628142728916,0.049947068058135,4.192756014336447,1.0,0.0,0.0,0.0,0.0,0.0,0.08077,0.0,0.0,0.0,0.0,1.6526,0.8262305632583813,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
26,S2-M15,V-LA-V,2019-06-18 12:45:23.965,6.3727,2.3477781296478923,2.5091,0.6238759956390134,0.4925929807826406,0.2806742548774328,5.0936576400530456,1.0,0.0,0.0,0.0,0.09537,0.0,0.0,0.0,0.0,0.0,0.0,1.8737,0.9106585022331762,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
27,S2-M15,V-LOA-H,2019-06-18 12:45:36.344,3.4301,1.1761885973541395,2.2524,0.6556083675053033,0.5447447612970756,0.1775345378374884,4.134780469732058,3.0,0.0,0.0,0.09632,0.0,0.0,0.19479,0.0,0.0,0.0,0.0,2.0331,0.9681169923852988,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
28,S2-M15,V-LOA-V,2019-06-18 12:45:51.125,6.1615,2.629758032099358,2.0034,0.6088853792211608,0.4643289816110214,0.0004591959353281,4.314613300787442,1.0,0.0,0.0,0.0,0.0,0.0,0.08567,0.0,0.0,0.0,0.0,2.1347,0.8166929217753608,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
29,S2-M15,V-LOA-A,2019-06-18 12:46:02.165,3.8206,1.4956702410724227,1.2474,0.5170018129888803,0.3341924553150047,0.0738746110533981,3.7325797759982935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2469,0.6046940818636323,S2-Ventilador M15," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,1.0
30,S2-M26,M-LOA-H,2019-06-18 12:46:37.215,18.715,10.525000774137167,0.80996,0.5152935618014108,0.3111132451513727,0.9422890448582208,2.603424999170037,1.0,0.27607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41655,0.1709610074212805,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
31,S2-M26,M-LOA-V,2019-06-18 12:46:48.505,10.362,4.676671639132131,0.81611,0.402212722141579,0.2009854756083421,0.0922527896173646,4.060542173656088,1.0,0.12001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45827,0.1714847140482126,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
32,S2-M26,M-LA-H,2019-06-18 12:47:02.518,15.337,5.63667613497801,1.2538,0.5003857429260278,0.3087397311894721,0.2272177232384264,4.061025755154748,1.0,0.19005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0765,0.3553719338822209,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
33,S2-M26,M-LA-V,2019-06-18 12:47:16.606,13.657,7.04155330163133,0.94659,0.4680641877587995,0.2694165838368748,0.3273230131633222,3.5134808203682715,1.0,0.18538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79508,0.3104021925244566,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
34,S2-M26,M-LA-A,2019-06-18 12:47:27.966,13.06,5.775670994129685,0.78636,0.4170709311629063,0.2134821448440119,0.3893707877698973,3.683493064839595,1.0,0.14648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33442,0.148631085926594,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
35,S2-M26,V-LA-H,2019-06-18 12:47:39.711,9.5754,3.580411664065007,6.3838,0.9619358983879444,1.173945684420574,0.4152057935099784,5.437900649680279,15.0,0.13566,0.14962,0.45297,0.0,0.0,0.5069600000000001,0.59216,0.18447,0.19839,0.0,7.3482,2.2959543104646807,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
36,S2-M26,V-LA-V,2019-06-18 12:47:54.959,15.914,7.102890283309612,5.3634,1.0642292023647986,1.4302551744582377,0.0625328897255679,3.7499602139398576,26.0,0.27715,0.12556,0.1277,0.24682,0.0815,0.39991,0.42171,0.35871,0.47035,0.38675,5.7156,2.9208129750246203,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
37,S2-M26,V-LOA-H,2019-06-18 12:48:06.545,6.3043,2.4746991526605577,4.8416,0.9786314689411704,1.190819816861996,0.1403112749745667,4.065770430961086,11.0,0.0855,0.0,0.72168,0.09062,0.0,0.18914,0.56533,0.0,0.08823,0.0,5.0546,2.2337065784706147,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
38,S2-M26,V-LOA-V,2019-06-18 12:48:22.116,13.386,4.938444261447741,6.1089,1.0298677129143896,1.3549325702857298,0.3901222351222704,4.5086376502941015,20.0,0.29527,0.0,0.16785,0.0,0.0,0.26374,0.52794,0.33677,0.4780799999999999,0.5286700000000001,6.2726,2.6067855984791484,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
39,S2-M26,V-LOA-A,2019-06-18 12:48:43.095,9.4769,4.450453268144974,2.5275,0.6495401773690381,0.5351186651160628,0.29962475929036,4.723251429571806,6.0,0.11438,0.08296,0.17228,0.0,0.0,0.1937499999999999,0.09373,0.0,0.0,0.0,2.5491,1.0145504913196732,S2-Ventilador M26," Motor: Activo en buen estado.
 Ventilador: Se detectan indicios de una posible degradación incipiente del rodamiento lado polea. Existe un aumento moderado de las amplitudes.",2.0,2.0
41,S2-M30,M-LOA-V,2019-06-18 12:50:07.995,14.509,7.997381838651995,0.65328,0.4475423059338479,0.2328053723838801,1.0096698996084754,2.8061208094578927,1.0,0.21092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24202,0.0928667688304953,S2-Ventilador M30," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2.0
