// user:DESKTOP-0HM15HR_628165; date:2020-10-14 11:45:19.203; sample:3201; 
frequency[Hz]; amplitude[g RMS]; phase[°]; 
416; 0.00304; 0.0; 
418; 0.01343; 0.0; 
420; 0.02405; 0.0; 
422; 0.01316; 0.0; 
424; 0.00376; 0.0; 
426; 0.00767; 0.0; 
428; 0.01155; 0.0; 
430; 0.01191; 0.0; 
432; 0.00741; 0.0; 
434; 0.00605; 0.0; 
436; 0.00341; 0.0; 
438; 0.00672; 0.0; 
440; 0.00475; 0.0; 
442; 0.00399; 0.0; 
444; 0.00364; 0.0; 
446; 0.00872; 0.0; 
448; 0.01194; 0.0; 
450; 0.00729; 0.0; 
452; 0.0034; 0.0; 
454; 0.00328; 0.0; 
456; 0.00283; 0.0; 
458; 0.00199; 0.0; 
460; 0.00831; 0.0; 
462; 0.0191; 0.0; 
464; 0.01266; 0.0; 
466; 0.00937; 0.0; 
468; 0.01357; 0.0; 
470; 0.01179; 0.0; 
472; 0.00867; 0.0; 
474; 0.00534; 0.0; 
476; 0.00434; 0.0; 
478; 0.00533; 0.0; 
480; 0.00402; 0.0; 
482; 0.00295; 0.0; 
484; 0.00135; 0.0; 
486; 0.00573; 0.0; 
488; 0.00723; 0.0; 
490; 0.00842; 0.0; 
492; 0.00542; 0.0; 
494; 0.00333; 0.0; 
496; 0.00446; 0.0; 
498; 0.00319; 0.0; 
500; 0.00377; 0.0; 
502; 0.005; 0.0; 
504; 0.02091; 0.0; 
506; 0.01983; 0.0; 
508; 0.00586; 0.0; 
510; 0.00664; 0.0; 
512; 0.01092; 0.0; 
514; 0.01299; 0.0; 
516; 0.00896; 0.0; 
518; 0.00545; 0.0; 
520; 0.00238; 0.0; 
522; 0.00579; 0.0; 
524; 0.00844; 0.0; 
526; 0.00669; 0.0; 
528; 0.01035; 0.0; 
530; 0.01207; 0.0; 
532; 0.00628; 0.0; 
534; 0.00566; 0.0; 
536; 0.01629; 0.0; 
538; 0.01858; 0.0; 
540; 0.01446; 0.0; 
542; 0.00996; 0.0; 
544; 0.01596; 0.0; 
546; 0.03439; 0.0; 
548; 0.02339; 0.0; 
550; 0.01539; 0.0; 
552; 0.01245; 0.0; 
554; 0.01126; 0.0; 
556; 0.01318; 0.0; 
558; 0.0085; 0.0; 
560; 0.00525; 0.0; 
562; 0.00737; 0.0; 
564; 0.00519; 0.0; 
566; 0.00337; 0.0; 
568; 0.00492; 0.0; 
570; 0.00282; 0.0; 
572; 0.00208; 0.0; 
574; 0.00249; 0.0; 
576; 0.00278; 0.0; 
578; 0.00308; 0.0; 
580; 0.00206; 0.0; 
582; 0.00169; 0.0; 
584; 0.00222; 0.0; 
586; 0.00476; 0.0; 
588; 0.00682; 0.0; 
590; 0.00312; 0.0; 
592; 0.00337; 0.0; 
594; 0.00525; 0.0; 
596; 0.00415; 0.0; 
598; 0.00513; 0.0; 
600; 0.00623; 0.0; 
602; 0.00273; 0.0; 
604; 0.00309; 0.0; 
606; 0.00369; 0.0; 
608; 0.00185; 0.0; 
610; 0.00214; 0.0; 
612; 0.00283; 0.0; 
614; 0.00314; 0.0; 
616; 0.00387; 0.0; 
618; 0.00463; 0.0; 
620; 0.00546; 0.0; 
622; 0.00378; 0.0; 
624; 0.00188; 0.0; 
626; 0.00386; 0.0; 
628; 0.00309; 0.0; 
630; 0.00873; 0.0; 
632; 0.00725; 0.0; 
634; 0.00665; 0.0; 
636; 0.01742; 0.0; 
638; 0.01882; 0.0; 
640; 0.00725; 0.0; 
642; 0.00659; 0.0; 
644; 0.00592; 0.0; 
646; 0.01096; 0.0; 
648; 0.01585; 0.0; 
650; 0.00934; 0.0; 
652; 0.01097; 0.0; 
654; 0.01084; 0.0; 
656; 0.00293; 0.0; 
658; 0.00641; 0.0; 
660; 0.00773; 0.0; 
662; 0.00987; 0.0; 
664; 0.00859; 0.0; 
666; 0.01099; 0.0; 
668; 0.02801; 0.0; 
670; 0.03437; 0.0; 
672; 0.02672; 0.0; 
674; 0.02846; 0.0; 
676; 0.02415; 0.0; 
678; 0.00884; 0.0; 
680; 0.01792; 0.0; 
682; 0.0299; 0.0; 
684; 0.02532; 0.0; 
686; 0.01262; 0.0; 
688; 0.00744; 0.0; 
690; 0.00865; 0.0; 
692; 0.01738; 0.0; 
694; 0.01755; 0.0; 
696; 0.01334; 0.0; 
698; 0.00897; 0.0; 
700; 0.01524; 0.0; 
702; 0.02037; 0.0; 
704; 0.01293; 0.0; 
706; 0.00773; 0.0; 
708; 0.015; 0.0; 
710; 0.01893; 0.0; 
712; 0.01142; 0.0; 
714; 0.0125; 0.0; 
716; 0.0159; 0.0; 
718; 0.01517; 0.0; 
720; 0.0137; 0.0; 
722; 0.00596; 0.0; 
724; 0.00801; 0.0; 
726; 0.01173; 0.0; 
728; 0.00818; 0.0; 
730; 0.00774; 0.0; 
732; 0.01968; 0.0; 
734; 0.01881; 0.0; 
736; 0.01126; 0.0; 
738; 0.01201; 0.0; 
740; 0.01151; 0.0; 
742; 0.00831; 0.0; 
744; 0.0094; 0.0; 
746; 0.0075; 0.0; 
748; 0.00867; 0.0; 
750; 0.0083; 0.0; 
752; 0.01422; 0.0; 
754; 0.01843; 0.0; 
756; 0.01431; 0.0; 
758; 0.01669; 0.0; 
760; 0.01678; 0.0; 
762; 0.0102; 0.0; 
764; 0.01345; 0.0; 
766; 0.01491; 0.0; 
768; 0.02057; 0.0; 
770; 0.01883; 0.0; 
772; 0.00851; 0.0; 
774; 0.00646; 0.0; 
776; 0.00971; 0.0; 
778; 0.01289; 0.0; 
780; 0.01632; 0.0; 
782; 0.01628; 0.0; 
784; 0.01382; 0.0; 
786; 0.00294; 0.0; 
788; 0.00432; 0.0; 
790; 0.00575; 0.0; 
792; 0.00878; 0.0; 
794; 0.0088; 0.0; 
796; 0.00253; 0.0; 
798; 0.00999; 0.0; 
800; 0.01849; 0.0; 
802; 0.01317; 0.0; 
804; 0.00667; 0.0; 
806; 0.01067; 0.0; 
808; 0.01097; 0.0; 
810; 0.00964; 0.0; 
812; 0.005; 0.0; 
814; 0.00623; 0.0; 
816; 0.00221; 0.0; 
818; 0.00872; 0.0; 
820; 0.00912; 0.0; 
822; 0.00674; 0.0; 
824; 0.00817; 0.0; 
826; 0.00787; 0.0; 
828; 0.00751; 0.0; 
830; 0.0079; 0.0; 
832; 0.01351; 0.0; 
834; 0.00684; 0.0; 
836; 0.00708; 0.0; 
838; 0.00666; 0.0; 
840; 0.01682; 0.0; 
842; 0.0106; 0.0; 
844; 0.00883; 0.0; 
846; 0.01128; 0.0; 
848; 0.01727; 0.0; 
850; 0.01867; 0.0; 
852; 0.00697; 0.0; 
854; 0.00753; 0.0; 
856; 0.00969; 0.0; 
858; 0.01286; 0.0; 
860; 0.01521; 0.0; 
862; 0.01596; 0.0; 
864; 0.01532; 0.0; 
866; 0.02475; 0.0; 
868; 0.01489; 0.0; 
870; 0.01516; 0.0; 
872; 0.01808; 0.0; 
874; 0.00965; 0.0; 
876; 0.01889; 0.0; 
878; 0.0168; 0.0; 
880; 0.03684; 0.0; 
882; 0.04557; 0.0; 
884; 0.03621; 0.0; 
886; 0.03384; 0.0; 
888; 0.02847; 0.0; 
890; 0.02577; 0.0; 
892; 0.02867; 0.0; 
894; 0.01187; 0.0; 
896; 0.01284; 0.0; 
898; 0.01076; 0.0; 
900; 0.02096; 0.0; 
902; 0.03169; 0.0; 
904; 0.03574; 0.0; 
906; 0.02197; 0.0; 
908; 0.02042; 0.0; 
910; 0.01829; 0.0; 
912; 0.02038; 0.0; 
914; 0.02402; 0.0; 
916; 0.0211; 0.0; 
918; 0.01989; 0.0; 
920; 0.01617; 0.0; 
922; 0.0202; 0.0; 
924; 0.04447; 0.0; 
926; 0.02954; 0.0; 
928; 0.02334; 0.0; 
930; 0.02665; 0.0; 
932; 0.03546; 0.0; 
934; 0.03077; 0.0; 
936; 0.00895; 0.0; 
938; 0.00848; 0.0; 
940; 0.00631; 0.0; 
942; 0.01633; 0.0; 
944; 0.02764; 0.0; 
946; 0.03265; 0.0; 
948; 0.01666; 0.0; 
950; 0.01654; 0.0; 
952; 0.01522; 0.0; 
954; 0.01498; 0.0; 
956; 0.01594; 0.0; 
958; 0.01434; 0.0; 
960; 0.01678; 0.0; 
962; 0.01292; 0.0; 
964; 0.02436; 0.0; 
966; 0.04133; 0.0; 
968; 0.0281; 0.0; 
970; 0.02202; 0.0; 
972; 0.01672; 0.0; 
974; 0.01804; 0.0; 
976; 0.01862; 0.0; 
978; 0.00861; 0.0; 
980; 0.00208; 0.0; 
982; 0.00342; 0.0; 
984; 0.00246; 0.0; 
986; 0.00673; 0.0; 
988; 0.00937; 0.0; 
990; 0.00737; 0.0; 
992; 0.00626; 0.0; 
994; 0.00441; 0.0; 
996; 0.00219; 0.0; 
