machine,point,time,max_mms,rms_mms
S1-M11,M-LA-H,2020-02-11 08:48:21.804,6.335,2.6900042868297853
S3-M39,V-LOA-H,2019-07-16 12:10:23.827,7.7074,2.5210223554898543
S3-M39,V-LOA-H,2020-07-09 11:16:04.834,7.3023,2.5712891800497646
S3-M39,V-LOA-H,2020-10-14 08:55:36.045,6.0006,2.101503770400849
S3-M39,V-LOA-H,2021-04-06 11:34:17.043,6.7404,2.5737133096744116
S3-M39,V-LOA-H,2020-04-28 17:24:19.754,8.3572,2.8158686082129463
S3-M39,V-LOA-H,2020-02-11 12:57:35.614,6.9061,2.1555986395684155
S5-70-M1,M-LA-H,2021-04-07 11:30:24.414,3.8825,1.6074607633559692
S5-70-M1,M-LA-H,2019-10-15 16:45:06.252,3.8593,1.201434177297955
S5-70-M1,M-LA-H,2020-10-15 09:51:12.055,3.8113,1.0624881159622956
S2-M11,V-LOA-H,2020-04-28 15:34:08.185,3.6251,1.2418462782585586
S2-M11,V-LOA-H,2021-04-06 12:11:39.343,4.5863,2.2886988138103415
S2-M11,V-LOA-H,2020-02-11 10:20:04.615,6.4132,2.8106068180866037
S2-M11,V-LOA-H,2019-07-16 10:00:37.465,3.6669,1.5280114744307443
S2-M11,V-LOA-H,2020-10-14 16:49:20.254,6.3503,3.5082628289811177
S4-61-M1,M-LOA-H,2021-04-07 10:32:41.175,21.793,10.030078275435251
S4-61-M1,M-LOA-H,2019-10-15 17:35:03.885,13.663,5.756875356706422
S4-61-M1,M-LOA-H,2020-10-13 16:35:11.321,22.119,9.030889525360264
S5-70-M1,V-LA-H,2021-04-07 11:30:49.744,3.9129,1.3823247392103402
S5-70-M1,V-LA-H,2019-10-15 16:45:39.641,4.9532,1.9715040197049916
S5-70-M1,V-LA-H,2020-10-15 09:51:41.104,2.5779,0.9043400392714794
S4-61-M1,M-LOA-V,2020-10-13 16:35:23.231,11.681,5.007397629678988
S4-61-M1,M-LOA-V,2019-10-15 17:35:16.762,10.536,4.337092160125322
S4-61-M1,M-LOA-V,2021-04-07 10:32:49.624,13.973,5.03029193884017
S1-M11,M-LA-V,2019-07-16 09:55:48.825,7.1832,2.984822539137174
S1-M11,M-LA-V,2021-04-06 15:58:28.621,4.6593,1.4906871745428787
S1-M11,M-LA-V,2020-04-28 09:44:16.435,5.7975,2.830694960389776
S1-M11,M-LA-V,2020-07-09 08:17:08.003,5.8564,2.4477890726191447
S1-M11,M-LA-V,2020-02-11 08:48:33.883,7.1711,3.3553772579356087
S1-M11,M-LA-V,2020-10-14 11:18:35.633,4.0153,1.4075869716009393
S3-M39,M-LA-H,2020-02-11 12:56:39.357,8.4969,3.322758008380249
S3-M39,M-LA-H,2020-04-28 17:22:38.603,8.8406,2.942655887952823
S3-M39,M-LA-H,2019-07-16 12:09:27.885,8.7129,2.8894880082094905
S3-M39,M-LA-H,2020-07-09 11:15:16.983,10.288,3.921662442144904
S3-M39,M-LA-H,2021-04-06 11:33:20.493,7.9047,2.560713147057297
S3-M39,M-LA-H,2020-10-14 08:54:46.265,8.5494,3.33805000451845
S5-70-M1,V-LOA-A,2019-10-15 16:46:28.401,4.0364,1.9405771328487182
S5-70-M1,V-LOA-A,2020-10-15 09:52:18.960,2.9373,1.1644693409806404
S5-70-M1,V-LOA-A,2021-04-07 11:31:37.124,3.012,1.3266072458608125
S2-M11,M-LOA-V,2020-02-11 10:18:59.764,8.0266,2.8218450771648516
S2-M11,M-LOA-V,2020-04-28 15:33:05.225,3.1431,1.129666767596182
S2-M11,M-LOA-V,2019-07-16 09:59:20.505,5.6689,2.0491559370844743
S2-M11,M-LOA-V,2020-10-14 16:48:14.073,6.3615,2.433166209615869
S2-M11,M-LOA-V,2021-04-06 12:10:36.643,5.8301,2.003889288647937
S4-61-M1,V-LOA-A,2020-10-13 16:36:59.201,11.834,6.334024854992312
S4-61-M1,V-LOA-A,2021-04-07 10:34:12.114,9.2193,3.785796986494112
S4-61-M1,V-LOA-A,2019-10-15 17:37:04.805,5.9078,2.1931418761940855
S5-70-M1,M-LOA-V,2019-10-15 16:44:54.622,3.6656,1.2610180933767603
S5-70-M1,M-LOA-V,2020-10-15 09:51:01.904,3.0853,1.2101774828567002
S5-70-M1,M-LOA-V,2021-04-07 11:30:13.784,3.3849,1.188229848930297
S3-M39,V-LA-V,2020-07-09 11:15:50.624,19.301,7.134759394860554
