time,machine,point,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Nombre,diagnostico,Id_Estado_Activo,Id_Estado_Activo_fixed,prev_diag,pct_change_acc,mean_mms_prev,element_type,labeled
2020-10-13 16:01:15.622,S4-73-M1,M-LOA-H,14.612,6.593914668473461,0.75238,0.4358575055413394,0.2300218888057411,0.5784457003926993,3.270906103355244,1.0,0.16695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35573,0.1499128021678018,S4-Ventilador 73 M1,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.34111691413700296,0.8964094193408588,M,True
2020-10-13 16:01:55.322,S4-73-M1,M-LA-A,13.543,7.469812434075193,0.56486,0.4354363999465794,0.2210346557153363,1.0018472275816408,2.555526861486669,1.0,0.19792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24123,0.1127440035336433,S4-Ventilador 73 M1,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.05292001416668235,0.8990958233132847,M,True
2020-10-13 16:02:04.471,S4-73-M1,V-LA-H,12.109,5.035164447313183,2.706,0.7142030966275783,0.6458485064788297,0.2712548330963953,4.18983704824701,2.0,0.12709,0.0,0.0,0.0,0.0,0.08674,0.0,0.0,0.0,0.0,5.5282,2.674906809009698,S4-Ventilador 73 M1,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.14360578142168867,1.2194399189597271,V,True
2020-10-13 16:02:13.491,S4-73-M1,V-LA-V,15.638,6.632564798729224,3.3008,0.7347518522765547,0.684661161425678,0.342746638607017,4.8210708975030885,2.0,0.40444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0755,4.350941413885441,S4-Ventilador 73 M1,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.010933815197084362,1.0380125848867554,V,True
2020-10-13 16:02:46.203,S4-73-M1,V-LOA-A,13.886,6.913108683344815,1.524,0.5335207364486437,0.3563732839858439,0.0124237506839759,4.276414839392218,1.0,0.17908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9054,0.9742133407762228,S4-Ventilador 73 M1,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,-0.48483926579454417,1.1397577367794507,V,True
2020-10-13 16:03:01.462,S4-73-M2,M-LOA-H,12.04,5.674097670343346,0.4568,0.3688632638551513,0.1624975488660539,0.7052573182364341,2.811119325723112,1.0,0.12963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31807,0.1144351920937989,S4-Ventilador 73 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,-0.23109293204733294,0.893960939640763,M,True
2020-10-13 16:03:53.822,S4-73-M2,V-LA-H,10.133,4.040550465179211,2.1227,0.6826849450008835,0.5822254609270127,0.0603140090293861,3.645838498062695,6.0,0.08493,0.0,0.0,0.0837,0.0,0.37418,0.08039,0.0,0.0,0.0,2.1704,1.0957824728806302,S4-Ventilador 73 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,-0.020759330165613266,0.7734376779158958,V,True
2020-10-13 16:04:03.842,S4-73-M2,V-LA-V,10.224,3.843320077811467,2.9099,0.7870491509218448,0.7744111202217987,0.0509311045114744,3.757564843808773,9.0,0.29427,0.0,0.0,0.5068699999999999,0.09142,0.44057,0.0,0.0,0.0,0.0,3.0596,1.3491540168988074,S4-Ventilador 73 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.08198854763144192,1.2331393630173175,V,True
2020-10-13 16:05:30.041,S4-74-M1,M-LOA-H,27.835,15.19511598552021,1.4198,0.6129397038587125,0.4241979664613289,1.1785406654985096,3.3470221742079778,1.0,0.39942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42526,0.1505944519019822,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.12729731390988996,1.0153301666259986,M,True
2020-10-13 16:05:40.551,S4-74-M1,M-LOA-V,15.719,6.776153834565369,0.72003,0.398205165104152,0.1958128160046474,0.2615567079019212,3.677134187084622,1.0,0.13486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42869,0.1492698915532157,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,0.05349174067625495,0.9800548239277111,M,True
2020-10-13 16:05:50.912,S4-74-M1,M-LA-H,20.13,9.88000047718926,0.78375,0.4952114891087569,0.2808266223805551,1.0987504265749746,2.790867879106992,1.0,0.25159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31861,0.1512726315326412,S4-Ventilador 74 M1,Motor: Activo en buen estado.  Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones. ,1.0,1,0,-0.6324908562318297,1.0651110104824817,M,True
