time,machine,point,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Id_Estado_Activo,Id_Estado_Activo_fixed,prev_diag,pct_change_acc,mean_mms_prev,element_type,prediction
2021-04-06 11:10:40.304,S3-M23,M-LOA-H,15.298,7.612411464348442,0.54573,0.4302721718234902,0.2189587150117621,0.8540149526114278,2.49238766299247,1.0,0.19764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24425,0.1072374753989518,1.0,0,0,-0.32936405529953905,1.2094428893986857,M,1
2021-04-06 11:11:00.943,S3-M23,M-LA-H,16.198,6.46199880037508,0.72379,0.4281724526051645,0.2243515360108706,0.4235839955900928,3.2261423873867736,1.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47497,0.1910089306040311,1.0,0,0,0.1114711302211302,0.6301750505936549,M,1
2021-04-06 11:11:09.904,S3-M23,M-LA-V,12.179,4.179611005716445,0.60013,0.3577206759907092,0.1596243033507581,0.1957783929169623,3.759640527177592,1.0,0.08479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618,0.1919914307855525,1.0,0,0,0.22278367529900778,0.6669999569087611,M,1
2021-04-06 11:11:24.374,S3-M23,M-LA-A,19.061,9.53186585518248,0.69828,0.5086944876712439,0.296687602887188,1.1663496662240986,2.3535867127738155,1.0,0.25077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68126,0.1278208320463577,1.0,0,0,-0.17946910142066486,1.1848308418808102,M,1
2021-04-06 11:11:48.824,S3-M23,V-LA-H,12.248,5.272775943453301,2.7738,0.6450607758506292,0.5402248653844083,1.0188449868836544,5.134528559743811,1.0,0.1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7965,2.091675122687868,1.0,0,0,-0.27900810979413593,1.4814934426132835,V,1
2021-04-06 11:12:00.988,S3-M23,V-LA-V,12.253,4.277320222224393,3.5925,0.7702711980243447,0.759811055820063,0.7228573107398972,4.72814915297938,2.0,0.17008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5469,3.0640399818983086,1.0,0,0,0.0921444640359943,1.3075898819233522,V,1
2021-04-06 11:12:13.724,S3-M23,V-LOA-H,10.061,3.149414206962865,2.0249,0.5733940878918241,0.416881156500832,0.4258956390378263,4.857259601264705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1859,1.5132572227383017,1.0,0,0,-0.41544457274826785,0.8758654772711223,V,1
2021-04-06 11:12:38.234,S3-M23,V-LOA-V,10.948,4.69383452610816,4.0594,0.7248807931699118,0.6693106288176142,0.6782380579355518,6.065046370429266,4.0,0.11765,0.0,0.0,0.0,0.0,0.30427,0.0,0.0,0.0,0.0,4.294,1.880036988750601,1.0,0,0,0.557234924044806,0.9219828654370491,V,1
2021-04-06 11:12:49.734,S3-M23,V-LOA-A,12.707,6.067426524339388,1.6753,0.5452660337921499,0.373715543016806,0.2656198051271947,4.482821309695063,1.0,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1181,0.8534287375922108,1.0,0,0,-0.37882832777159803,1.2445776840729519,V,1
2021-04-06 11:13:09.363,S3-M24,M-LOA-H,23.826,14.49452235213704,0.89798,0.5942663770191519,0.4030342341832232,1.212779980373909,2.228048944328064,1.0,0.38507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29592,0.1427252516134145,1.0,0,0,-0.21717374248103916,0.9857761125195432,M,1
