,machine,point,prediction,score,filename
1865,S2-M05,V-LOA-V,class_a,65.16318321228027,20210406120406054_S2-M05_V-LOA-V.png
1866,S2-M05,M-LA-H,class_b,80.94390034675598,20210406120305034_S2-M05_M-LA-H.png
1867,S2-M05,M-LOA-H,class_b,62.912893295288086,20210406120230833_S2-M05_M-LOA-H.png
1868,S2-M05,V-LOA-A,class_a,53.099602460861206,20210406120416933_S2-M05_V-LOA-A.png
1869,S2-M05,V-LA-H,class_b,61.594200134277344,20210406120336774_S2-M05_V-LA-H.png
1870,S2-M35,M-LA-V,class_a,87.63937950134277,20210406124111824_S2-M35_M-LA-V.png
1871,S2-M35,V-LOA-A,class_a,68.31164360046387,20210406124214573_S2-M35_V-LOA-A.png
1872,S2-M35,V-LOA-H,class_a,70.66612839698792,20210406124151954_S2-M35_V-LOA-H.png
1873,S2-M35,V-LOA-V,class_b,52.473580837249756,20210406124202084_S2-M35_V-LOA-V.png
1874,S2-M35,M-LA-A,class_a,77.7031660079956,20210406124120723_S2-M35_M-LA-A.png
1875,S2-M35,M-LOA-V,class_a,76.62981748580933,20210406124050403_S2-M35_M-LOA-V.png
1876,S2-M35,M-LA-H,class_b,59.00489091873169,20210406124102674_S2-M35_M-LA-H.png
1877,S2-M35,M-LOA-H,class_b,78.85155081748962,20210406124040713_S2-M35_M-LOA-H.png
1878,S2-M35,V-LA-V,class_b,53.64288687705994,20210406124141624_S2-M35_V-LA-V.png
1879,S2-M14,V-LOA-H,class_a,82.44667649269104,20210406121519514_S2-M14_V-LOA-H.png
1880,S2-M35,V-LA-H,class_a,69.26343441009521,20210406124131273_S2-M35_V-LA-H.png
1881,S2-M14,V-LA-H,class_b,55.501532554626465,20210406121459574_S2-M14_V-LA-H.png
1882,S2-M14,M-LOA-V,class_a,83.58832001686096,20210406121418583_S2-M14_M-LOA-V.png
1883,S2-M14,V-LOA-V,class_a,50.30199885368347,20210406121529634_S2-M14_V-LOA-V.png
1884,S2-M14,M-LA-H,class_a,73.98462891578674,20210406121430484_S2-M14_M-LA-H.png
1885,S2-M14,V-LOA-A,class_a,73.94095063209534,20210406121540824_S2-M14_V-LOA-A.png
1886,S2-M14,M-LOA-H,class_a,67.14280843734741,20210406121408374_S2-M14_M-LOA-H.png
1887,S2-M14,M-LA-A,class_a,70.0510323047638,20210406121450314_S2-M14_M-LA-A.png
1888,S2-M14,M-LA-V,class_a,92.87292957305908,20210406121441263_S2-M14_M-LA-V.png
1889,S2-M20,M-LA-H,class_b,81.38565421104431,20210406122154744_S2-M20_M-LA-H.png
1890,S2-M14,V-LA-V,class_b,71.41865491867065,20210406121509412_S2-M14_V-LA-V.png
1891,S2-M20,V-LOA-H,class_a,57.965755462646484,20210406122243363_S2-M20_V-LOA-H.png
1892,S2-M20,M-LOA-H,class_b,97.37444519996643,20210406122135003_S2-M20_M-LOA-H.png
