,machine,point,prediction,score,filename
1613,S3-M36,V-LA-H,class_b,95.33053040504456,20210406112955123_S3-M36_V-LA-H.png
1614,S3-M36,V-LOA-H,class_b,92.89351105690002,20210406113016264_S3-M36_V-LOA-H.png
1615,S3-M36,V-LOA-A,class_b,77.76551246643066,20210406113039794_S3-M36_V-LOA-A.png
1616,S3-M36,V-LOA-V,class_b,98.78389835357666,20210406113026934_S3-M36_V-LOA-V.png
1617,S3-M36,V-LA-V,class_b,73.76214861869812,20210406113005104_S3-M36_V-LA-V.png
1618,S3-M36,M-LA-V,class_a,63.98285627365112,20210406112933313_S3-M36_M-LA-V.png
1619,S3-M36,M-LOA-H,class_a,51.45260691642761,20210406112904534_S3-M36_M-LOA-H.png
1620,S3-M12,M-LA-V,class_b,54.94378209114075,20210406105640442_S3-M12_M-LA-V.png
1621,S3-M12,M-LOA-V,class_a,60.437214374542236,20210406105618153_S3-M12_M-LOA-V.png
1622,S3-M12,M-LA-A,class_a,55.451786518096924,20210406105648683_S3-M12_M-LA-A.png
1623,S3-M12,M-LA-H,class_b,53.80950570106506,20210406105630113_S3-M12_M-LA-H.png
1624,S3-M12,V-LA-V,class_a,81.68018460273743,20210406105722553_S3-M12_V-LA-V.png
1625,S3-M12,V-LOA-V,class_a,62.20409870147705,20210406105743553_S3-M12_V-LOA-V.png
1626,S3-M12,V-LOA-A,class_a,70.01398801803589,20210406105756432_S3-M12_V-LOA-A.png
1627,S3-M12,V-LOA-H,class_a,67.9744005203247,20210406105733994_S3-M12_V-LOA-H.png
1628,S3-M12,V-LA-H,class_b,63.355839252471924,20210406105712374_S3-M12_V-LA-H.png
1629,S3-M12,M-LOA-H,class_a,60.750555992126465,20210406105609094_S3-M12_M-LOA-H.png
1630,S3-M05,V-LA-V,class_a,64.62345123291016,20210406104702872_S3-M05_V-LA-V.png
1631,S3-M05,M-LA-V,class_a,74.30635690689087,20210406104622212_S3-M05_M-LA-V.png
1632,S3-M05,M-LA-H,class_b,58.29120874404907,20210406104612681_S3-M05_M-LA-H.png
1633,S3-M05,M-LA-A,class_a,64.7260069847107,20210406104630294_S3-M05_M-LA-A.png
1634,S3-M05,V-LOA-H,class_a,59.346795082092285,20210406104728793_S3-M05_V-LOA-H.png
1635,S3-M05,V-LA-H,class_a,53.06957960128784,20210406104653154_S3-M05_V-LA-H.png
1636,S3-M05,M-LOA-V,class_a,60.28180718421936,20210406104601263_S3-M05_M-LOA-V.png
1637,S3-M05,V-LOA-A,class_a,85.68165302276611,20210406104751572_S3-M05_V-LOA-A.png
1638,S3-M05,V-LOA-V,class_b,55.609941482543945,20210406104739773_S3-M05_V-LOA-V.png
1639,S3-M05,M-LOA-H,class_a,65.03597497940063,20210406104549824_S3-M05_M-LOA-H.png
1640,S3-M06,M-LA-V,class_a,63.395893573760986,20210406104840363_S3-M06_M-LA-V.png
1641,S3-M06,M-LOA-H,class_a,64.96680974960327,20210406104810225_S3-M06_M-LOA-H.png
1642,S3-M06,V-LA-V,class_a,72.6315438747406,20210406104909020_S3-M06_V-LA-V.png
1643,S3-M06,V-LOA-H,class_a,83.34276080131531,20210406104921221_S3-M06_V-LOA-H.png
1644,S3-M06,M-LA-H,class_a,52.135634422302246,20210406104830754_S3-M06_M-LA-H.png
1645,S3-M06,V-LA-H,class_a,72.21957445144653,20210406104859044_S3-M06_V-LA-H.png
1646,S3-M06,M-LOA-V,class_a,73.52056503295898,20210406104820086_S3-M06_M-LOA-V.png
1647,S3-M06,M-LA-A,class_a,68.27371120452881,20210406104848518_S3-M06_M-LA-A.png
1648,S3-M06,V-LOA-V,class_a,76.29783749580383,20210406104931562_S3-M06_V-LOA-V.png
1649,S3-M06,V-LOA-A,class_a,90.08470177650452,20210406104942853_S3-M06_V-LOA-A.png
1650,S3-M19,V-LOA-H,class_a,60.392528772354126,20210406114449534_S3-M19_V-LOA-H.png
1651,S3-M19,V-LA-H,class_a,53.622257709503174,20210406114425175_S3-M19_V-LA-H.png
1652,S3-M19,M-LOA-V,class_b,64.66203927993774,20210406114338343_S3-M19_M-LOA-V.png
1653,S3-M19,M-LA-V,class_b,52.83008813858032,20210406114357184_S3-M19_M-LA-V.png
1654,S3-M19,M-LA-A,class_b,73.86859059333801,20210406114407423_S3-M19_M-LA-A.png
1655,S3-M19,V-LOA-V,class_b,65.55975675582886,20210406114459824_S3-M19_V-LOA-V.png
1656,S3-M19,V-LOA-A,class_a,56.96805715560913,20210406114511113_S3-M19_V-LOA-A.png
1657,S3-M19,V-LA-V,class_a,78.80123853683472,20210406114437204_S3-M19_V-LA-V.png
1658,S3-M19,M-LOA-H,class_b,79.53896522521973,20210406114328763_S3-M19_M-LOA-H.png
1659,S3-M19,M-LA-H,class_b,60.39862036705017,20210406114348124_S3-M19_M-LA-H.png
1660,S3-M35,V-LOA-A,class_b,60.278528928756714,20210406112848394_S3-M35_V-LOA-A.png
1661,S3-M35,V-LOA-V,class_b,87.76165843009949,20210406112837424_S3-M35_V-LOA-V.png
1662,S3-M35,M-LOA-H,class_a,50.68204402923584,20210406112658195_S3-M35_M-LOA-H.png
1663,S3-M35,M-LOA-V,class_a,61.56598925590515,20210406112708813_S3-M35_M-LOA-V.png
1664,S3-M35,V-LA-H,class_a,54.56271171569824,20210406112804212_S3-M35_V-LA-H.png
1665,S3-M35,V-LOA-H,class_b,57.708740234375,20210406112826573_S3-M35_V-LOA-H.png
1666,S3-M35,V-LA-V,class_a,52.478694915771484,20210406112813703_S3-M35_V-LA-V.png
